base_error,width,power,trial,reson_factor,eff_error,mem_stab,cycle_score,T_int,I,success,fail_reason
0.06,0.05,4.0,2725,0.0884295343760037,0.06599616595775464,0.8278610506326944,1.5186978129898672,0.3774381466875007,3.2496788322260106,0,Genetic
0.06,0.05,4.0,2726,0.0012404887294728494,0.06599999999985152,0.842221300046585,1.5219377034156918,0.372367752647536,3.3091100931504704,0,Genetic
0.06,0.05,4.0,2727,0.4509279819819592,0.0634076341924703,0.8640902768136565,1.5785617461450159,0.3936645625782621,3.266591875093218,0,Genetic
0.06,0.05,4.0,2728,0.0009769271408784086,0.0659999999999429,0.7957428923547508,1.4754123302947177,0.3773046285160557,3.1378529711074057,0,Genetic
0.06,0.05,4.0,2729,1.851181323790656e-07,0.066,0.9107598685781004,1.6795680695046677,0.3767583354908712,3.6679310120781556,0,Genetic
0.06,0.05,4.0,2730,0.1038222529177355,0.06599271500369631,0.8485859847504711,1.544792056157167,0.38383531461582776,3.265372701558587,0,Genetic
0.06,0.05,4.0,2731,0.005870713962408492,0.06599999992552145,0.8221152059525145,1.5123567192758294,0.3924945590817456,3.116942346257805,0,Genetic
0.06,0.05,4.0,2732,0.001855094589957687,0.06599999999925744,0.8457497026407044,1.5144377489087482,0.36793438634596576,3.321548900919615,0,Genetic
0.06,0.05,4.0,2733,6.834644515522059e-05,0.066,0.857365567890424,1.5440757970467767,0.38498378283004564,3.2665269525301244,0,Genetic
0.06,0.05,4.0,2734,0.30888872911296833,0.06542921074609792,0.9082248041317369,1.6518218224548993,0.37529076602492306,3.6276264918063084,0,Genetic
0.06,0.05,4.0,2735,0.0007533612429156444,0.06599999999997981,0.8024471922305573,1.4918115936317253,0.3976297622266128,3.0212124438857066,0,Genetic
0.06,0.05,4.0,2736,0.8733285812894377,0.02952643327506131,0.8748768745188835,1.5961862003106766,0.38829085060504065,3.3576447107951983,1,None
0.06,0.05,4.0,2737,0.003534320481781124,0.06599999999021657,0.8821040900248043,1.6242818654644278,0.391622595919389,3.396449248597899,0,Genetic
0.06,0.05,4.0,2738,1.4004677608965697e-10,0.066,0.8316455707567982,1.541797475837445,0.3754904334229051,3.3320126687250724,0,Genetic
0.06,0.05,4.0,2739,5.037805994107926e-10,0.066,0.8024789433121429,1.450591127543868,0.38983612080697033,2.9771157376725355,0,Genetic
0.06,0.05,4.0,2740,0.015468718476463085,0.06599999641007907,0.842875628613484,1.5458367974352014,0.3888966800126545,3.222883446836623,0,Genetic
0.06,0.05,4.0,2741,0.2396692635028562,0.06579312076288006,0.8831963842087114,1.6110904938617256,0.378615358799445,3.4808701289782102,0,Genetic
0.06,0.05,4.0,2742,0.00013666215525744138,0.06599999999999998,0.8641150995769717,1.561194088839956,0.3718146661588369,3.4071207623673048,0,Genetic
0.06,0.05,4.0,2743,0.24123377910251265,0.06578766576465159,0.8133388143725703,1.512791737796684,0.3770241573531573,3.241758784357368,0,Genetic
0.06,0.05,4.0,2744,0.011062988965481241,0.06599999906080135,0.8014200859738658,1.426110843115622,0.39945873559002854,2.8430634526927694,0,Genetic
0.06,0.05,4.0,2745,0.9989604240290985,0.00356031936901327,0.8576527261642428,1.5519343886965566,0.3641872775140378,3.464996143198459,1,None
0.06,0.05,4.0,2746,3.051572229802644e-07,0.066,0.82430356490835,1.5149149902673718,0.3867641010371424,3.157495314481267,0,Genetic
